iter	Passed	Remaining
1082	137625	14868
1083	137809	14747
1084	138042	14631
1085	138268	14514
1086	138429	14390
1087	138563	14263
1088	138716	14139
1089	138879	14015
1090	139015	13888
1091	139171	13764
1092	139296	13636
1093	139457	13512
1094	139597	13386
1095	139749	13260
1096	139893	13134
1097	140020	13007
1098	140145	12879
1099	140252	12750
1100	140375	12622
1101	140497	12494
1102	140639	12368
1103	140763	12240
1104	140905	12114
1105	141039	11987
1106	141172	11860
1107	141304	11732
1108	141434	11605
1109	141566	11478
1110	141697	11351
1111	141822	11223
1112	141951	11095
1113	142067	10967
1114	142195	10839
1115	142328	10712
1116	142450	10584
1117	142576	10457
1118	142705	10329
1119	142847	10203
1120	142972	10075
1121	143087	9947
1122	143207	9819
1123	143381	9694
1124	143621	9574
1125	143967	9461
1126	144295	9346
1127	144568	9227
1128	145021	9120
1129	145395	9006
1130	145625	8884
1131	145865	8762
1132	146053	8636
1133	146295	8514
1134	146530	8391
1135	146674	8263
1136	146824	8135
1137	146968	8007
1138	147147	7880
1139	147308	7753
1140	147483	7626
1141	147637	7498
1142	147789	7370
1143	147933	7241
1144	148096	7113
1145	148253	6985
1146	148458	6859
1147	148665	6733
1148	148819	6605
1149	148975	6477
1150	149108	6347
1151	149245	6218
1152	149378	6089
1153	149508	5959
1154	149640	5830
1155	149759	5700
1156	149877	5570
1157	149996	5440
1158	150111	5310
